,time,open,high,low,close,date,symbol,rsi,candle_color,next_candle_color,next_candle_close,next_candle_open,pattern,next_candle_high,next_candle_low,candle_diff_pct
255,37800,18271.65,18288.45,18271.65,18287.0,220117,NIFTY,68.35,Green,Green,18301.45,18287.55,,18303.3,18285.7,0.182
256,38700,18287.55,18303.3,18285.7,18301.45,220117,NIFTY,69.31,Green,Red,18299.95,18302.1,,18312.1,18292.2,0.135
257,39600,18302.1,18312.1,18292.2,18299.95,220117,NIFTY,65.64,Red,Red,18291.9,18299.1,,18313.45,18290.3,0.173
258,40500,18299.1,18313.45,18290.3,18291.9,220117,NIFTY,69.37,Red,Red,18290.55,18291.75,,18296.35,18280.7,0.144
259,41400,18291.75,18296.35,18280.7,18290.55,220117,NIFTY,66.61,Red,Green,18307.3,18291.4,,18313.4,18286.5,0.127
260,42300,18291.4,18313.4,18286.5,18307.3,220117,NIFTY,69.87,Green,Red,18294.7,18307.65,,18309.15,18291.1,0.179
261,43200,18307.65,18309.15,18291.1,18294.7,220117,NIFTY,60.81,Red,Green,18296.9,18295.5,,18302.15,18278.05,0.179
262,44100,18295.5,18302.15,18278.05,18296.9,220117,NIFTY,62.55,Green,Green,18297.35,18296.95,,18303.75,18289.0,0.147
263,45000,18296.95,18303.75,18289.0,18297.35,220117,NIFTY,71.06,Green,Red,18287.2,18297.45,,18301.4,18279.95,0.17
264,45900,18297.45,18301.4,18279.95,18287.2,220117,NIFTY,61.22,Red,Green,18295.45,18286.9,,18304.7,18286.25,0.141
265,46800,18286.9,18304.7,18286.25,18295.45,220117,NIFTY,61.65,Green,Red,18295.65,18295.75,Bearish Engulfing,18302.45,18291.85,0.13
266,47700,18295.75,18302.45,18291.85,18295.65,220117,NIFTY,62.81,Red,Red,18267.15,18296.35,,18298.7,18267.15,0.135
267,48600,18296.35,18298.7,18267.15,18267.15,220117,NIFTY,42.05,Red,Green,18301.85,18267.35,,18302.55,18260.65,0.101
268,49500,18267.35,18302.55,18260.65,18301.85,220117,NIFTY,59.64,Green,Red,18298.0,18301.85,,18309.25,18287.75,0.193
269,50400,18301.85,18309.25,18287.75,18298.0,220117,NIFTY,53.85,Red,Green,18307.35,18298.35,,18311.85,18292.1,0.229
