,time,date,symbol,open,high,low,close
27356,54660,220420,BANKNIFTY,36318.05,36324.45,36307.2,36307.5
27357,54720,220420,BANKNIFTY,36310.25,36323.55,36301.7,36303.0
27358,54780,220420,BANKNIFTY,36300.7,36310.1,36290.45,36293.8
27359,54840,220420,BANKNIFTY,36287.4,36291.35,36279.15,36290.2
27360,54900,220420,BANKNIFTY,36290.85,36320.75,36266.55,36307.65
27361,54960,220420,BANKNIFTY,36311.35,36347.6,36307.85,36325.75
27362,55020,220420,BANKNIFTY,36329.2,36339.3,36325.0,36334.0
27363,55080,220420,BANKNIFTY,36332.25,36345.5,36324.45,36339.75
27364,55140,220420,BANKNIFTY,36341.4,36357.55,36340.15,36352.95
27365,55200,220420,BANKNIFTY,36353.0,36355.1,36326.2,36331.75
27366,55260,220420,BANKNIFTY,36324.65,36352.25,36324.65,36341.65
27367,55320,220420,BANKNIFTY,36346.5,36350.15,36335.4,36346.85
27368,55380,220420,BANKNIFTY,36350.3,36354.95,36344.45,36350.95
27369,55440,220420,BANKNIFTY,36353.0,36354.95,36332.7,36344.05
27370,55500,220420,BANKNIFTY,36344.15,36350.35,36336.35,36341.5
27371,55560,220420,BANKNIFTY,36340.05,36341.95,36319.0,36335.75
27372,55620,220420,BANKNIFTY,36334.75,36337.05,36328.2,36329.1
27373,55680,220420,BANKNIFTY,36329.75,36348.7,36325.1,36345.7
27374,55740,220420,BANKNIFTY,36346.0,36363.3,36340.45,36351.55
27375,33300,220421,BANKNIFTY,36513.1,36551.9,36490.05,36529.25
27376,33360,220421,BANKNIFTY,36526.5,36584.9,36526.5,36584.6
27377,33420,220421,BANKNIFTY,36579.7,36587.3,36556.8,36560.45
27378,33480,220421,BANKNIFTY,36558.95,36601.0,36558.95,36595.15
27379,33540,220421,BANKNIFTY,36593.75,36604.0,36584.9,36601.6
27380,33600,220421,BANKNIFTY,36600.45,36614.15,36579.35,36583.8
27381,33660,220421,BANKNIFTY,36583.7,36586.85,36569.2,36570.6
27382,33720,220421,BANKNIFTY,36569.45,36601.9,36569.45,36577.7
27383,33780,220421,BANKNIFTY,36579.85,36587.25,36559.05,36570.1
27384,33840,220421,BANKNIFTY,36570.1,36577.8,36561.1,36563.85
27385,33900,220421,BANKNIFTY,36562.55,36576.45,36543.05,36544.95
27386,33960,220421,BANKNIFTY,36546.2,36569.05,36529.0,36569.05
27387,34020,220421,BANKNIFTY,36564.05,36564.05,36538.7,36544.5
27388,34080,220421,BANKNIFTY,36543.9,36547.95,36533.2,36534.15
27389,34140,220421,BANKNIFTY,36539.5,36548.1,36518.15,36530.2
27390,34200,220421,BANKNIFTY,36527.9,36545.0,36524.35,36543.55
27391,34260,220421,BANKNIFTY,36540.75,36552.8,36535.7,36540.3
27392,34320,220421,BANKNIFTY,36534.8,36547.5,36534.8,36542.0
27393,34380,220421,BANKNIFTY,36540.4,36580.2,36540.4,36576.15
27394,34440,220421,BANKNIFTY,36576.65,36592.05,36566.4,36567.8
27395,34500,220421,BANKNIFTY,36565.4,36566.45,36541.45,36566.45
27396,34560,220421,BANKNIFTY,36564.7,36567.55,36551.65,36552.35
27397,34620,220421,BANKNIFTY,36553.85,36562.55,36552.1,36557.25
27398,34680,220421,BANKNIFTY,36555.45,36556.45,36538.1,36541.95
